capacity,demand_scenario,market_condition,replication,dp_revenue,dp_time,saa_revenue,saa_time,revenue_gap,num_eval_paths,eval_seed
3,low,budget,0,1289.950376257326,20.129296,1273.7617380345953,36.18373513221741,1.2549814722098576,1000,0
3,low,budget,1,1284.0706361030348,20.29801,1262.4476456299199,35.61174011230469,1.6839408880758684,1000,1000
3,low,budget,2,1331.5183539647974,20.895211,1307.034779249101,36.670722246170044,1.8387711023879567,1000,2000
3,low,budget,3,1289.6896537603186,20.03537,1251.364329350339,35.828041791915894,2.971670300543653,1000,3000
3,low,budget,4,1259.9627336196352,19.93876,1233.0226618200704,35.739145040512085,2.13816417586979,1000,4000
3,low,budget,5,1245.507971736093,20.158528,1207.815433469048,35.66040301322937,3.026278363719016,1000,5000
3,low,budget,6,1309.5194525556321,20.294075,1275.900058606902,36.25181007385254,2.5673077160571616,1000,6000
3,low,budget,7,1326.4344650978148,20.384174,1279.9409595130871,36.05964994430542,3.5051490901436386,1000,7000
3,low,budget,8,1260.2978193521126,19.697908,1233.9079868857964,35.91643214225769,2.0939362157971946,1000,8000
3,low,budget,9,1284.6191381790572,19.949455,1249.346936076624,35.65129780769348,2.7457322605695818,1000,9000
3,low,budget,10,1333.3797647913393,20.233622,1304.3724046541602,35.699665784835815,2.1754762523877442,1000,10000
3,low,budget,11,1274.4378995194281,19.605557,1238.749068880821,35.20621919631958,2.800358546467031,1000,11000
3,low,budget,12,1311.0557058244392,19.765101,1288.4183911265388,35.34044599533081,1.726647814988548,1000,12000
3,low,budget,13,1310.3283029853785,19.751789,1275.9334224830295,35.52233600616455,2.624905561757739,1000,13000
3,low,budget,14,1296.0039156689866,19.54634,1256.1089885359468,36.19723677635193,3.078302978154689,1000,14000
3,low,budget,15,1252.0383798858702,19.51681,1233.5490895061857,36.57879972457886,1.4767351126544426,1000,15000
3,low,budget,16,1322.2835912427104,19.65427,1302.18200663605,36.569194078445435,1.5202173527517333,1000,16000
3,low,budget,17,1307.2612071181236,19.690664,1288.7702903185125,37.07607889175415,1.4144775886354501,1000,17000
3,low,budget,18,1254.1285291177148,19.42727,1234.8549557369233,36.383049964904785,1.536810058403707,1000,18000
3,low,budget,19,1288.0830808020921,19.512815,1271.3306530326834,36.65390634536743,1.300570438280813,1000,19000
3,low,budget,20,1321.5733243707268,19.664081,1308.1012563738839,37.07592701911926,1.0193961809313712,1000,20000
