capacity,demand_scenario,market_condition,replication,dp_revenue,dp_time,saa_revenue,saa_time,revenue_gap,num_eval_paths,eval_seed
3,base,budget,0,561.0204482727202,0.362013,541.3872683946676,26.984621047973633,3.499548000166409,1000,0
3,base,budget,1,568.5759941665689,0.344856,565.4153040691228,25.940063953399658,0.5558958045844065,1000,1000
3,base,budget,2,568.5812924354033,0.441257,562.7534370904295,26.37980079650879,1.0249819018862343,1000,2000
3,base,budget,3,568.1444285356071,0.361106,553.7747915731204,26.448689699172974,2.5292225428531276,1000,3000
3,base,budget,4,547.0702857902199,0.393057,526.4437021211187,26.475625038146973,3.77037177943361,1000,4000
3,base,budget,5,513.0881210122232,0.322354,488.02926793327,26.61274814605713,4.883927741206897,1000,5000
3,base,budget,6,566.5498078458669,0.395037,557.027114025763,26.874009132385254,1.6808220015661155,1000,6000
3,base,budget,7,536.8641184811568,0.344861,507.1704638920178,25.982985973358154,5.530944156436708,1000,7000
3,base,budget,8,588.2367931130893,0.420198,582.1182634499877,25.51064705848694,1.0401473921277387,1000,8000
3,base,budget,9,544.1564123194527,0.375369,527.7986352105917,26.078441381454468,3.0060800054044012,1000,9000
3,base,budget,10,557.1904616865239,0.378167,539.160290396811,26.3454008102417,3.235908101358838,1000,10000
3,base,budget,11,518.6734754018046,0.357452,516.3449337389345,25.48656392097473,0.4489417279467005,1000,11000
3,base,budget,12,574.7608137701645,0.326574,553.7680370106846,25.90579581260681,3.6524370236337234,1000,12000
3,base,budget,13,576.6201726778442,0.34555,569.1887584374654,25.38373827934265,1.2887884594579893,1000,13000
3,base,budget,14,561.9611917369969,0.355071,547.4269246696114,25.90009069442749,2.5863471145508674,1000,14000
3,base,budget,15,534.9500102018217,0.337707,517.1390315133816,25.72559905052185,3.3294659965929294,1000,15000
3,base,budget,16,554.0484114274741,0.349443,537.0431457780295,25.687276124954224,3.069274326702156,1000,16000
3,base,budget,17,556.6306759524823,0.368183,533.2979551494291,25.877849817276,4.191777746191816,1000,17000
3,base,budget,18,549.3303435999476,0.369964,541.5665586984611,25.7025408744812,1.413318050229624,1000,18000
3,base,budget,19,525.6206376467039,0.43813,497.71001759473774,25.431116104125977,5.310031237914658,1000,19000
3,base,budget,20,544.3266090729744,0.333485,542.6961416035344,25.681398153305054,0.29953844663533197,1000,20000
3,base,budget,21,590.7411949941793,0.467982,576.8211733593121,25.99756908416748,2.35636548675167,1000,21000
3,base,budget,22,564.6353814433377,0.329346,557.3205262999185,26.054328203201294,1.2955006688955197,1000,22000
3,base,budget,23,574.6922688768732,0.349586,557.7064358317235,25.95108461380005,2.955639733651758,1000,23000
3,base,budget,24,550.7768862983448,0.408659,526.3530985294216,22.61553692817688,4.434424968896277,1000,24000
3,base,budget,25,570.4918025965565,0.353529,563.5729433597122,22.338391065597534,1.2127885458394847,1000,25000
3,base,budget,26,555.9082035461419,0.385868,536.7257918248725,22.718101978302002,3.4506437571715254,1000,26000
3,base,budget,27,550.9532286315778,0.37998,527.6343411229886,22.08845591545105,4.2324622666259835,1000,27000
3,base,budget,28,534.764054909812,0.372164,509.7276081207365,22.202765941619873,4.681774431024148,1000,28000
3,base,budget,29,554.8422400668014,0.321143,530.8696675040763,22.293060064315796,4.320610586504525,1000,29000
