property_type,capacity,T,N,replication,state_space_size,saa_time,saa_revenue,dp_time,dp_revenue
boutique,50,28,7,0,781250000000,129.83376574516296,6329.602363254814,,
boutique,50,28,7,1,781250000000,128.80246996879578,6419.408361504299,,
boutique,50,28,7,2,781250000000,130.59837579727173,6425.97181481288,,
boutique,50,28,7,3,781250000000,130.938214302063,6534.236398746021,,
boutique,50,28,7,4,781250000000,129.4692780971527,6275.050406911276,,
boutique,50,28,14,0,610351562500000000000000,190.81902718544006,7744.41672004904,,
boutique,50,28,14,1,610351562500000000000000,189.29843187332153,7942.755584823597,,
boutique,50,28,14,2,610351562500000000000000,187.89927983283997,7635.603089130118,,
boutique,50,28,14,3,610351562500000000000000,195.6892659664154,7628.092470406546,,
boutique,50,28,14,4,610351562500000000000000,195.3892982006073,7519.374688345688,,
boutique,50,56,7,0,781250000000,167.1078290939331,7795.681284844367,,
boutique,50,56,7,1,781250000000,166.50062203407288,7566.706852655318,,
boutique,50,56,7,2,781250000000,167.39213681221008,7649.013397446055,,
boutique,50,56,7,3,781250000000,164.98843383789062,7685.179838955493,,
boutique,50,56,7,4,781250000000,167.3658618927002,7694.9597853505,,
boutique,50,56,14,0,610351562500000000000000,279.5977420806885,10698.534062112163,,
boutique,50,56,14,1,610351562500000000000000,274.2276768684387,10785.952955422954,,
boutique,50,56,14,2,610351562500000000000000,276.4467136859894,10337.658108862011,,
boutique,50,56,14,3,610351562500000000000000,277.82827496528625,10662.008204062833,,
boutique,50,56,14,4,610351562500000000000000,274.9005081653595,10707.659854805965,,
mid_size,100,28,7,0,100000000000000,136.07288908958435,6387.950613401352,,
mid_size,100,28,7,1,100000000000000,135.69095873832703,6365.556042666301,,
mid_size,100,28,7,2,100000000000000,136.65738701820374,6447.86054442122,,
mid_size,100,28,7,3,100000000000000,134.36925315856934,6478.15871117649,,
mid_size,100,28,7,4,100000000000000,134.8396337032318,6414.432161664458,,
mid_size,100,28,14,0,10000000000000000000000000000,190.1392958164215,7697.848860044734,,
mid_size,100,28,14,1,10000000000000000000000000000,191.02992701530457,7808.945200646449,,
mid_size,100,28,14,2,10000000000000000000000000000,188.88451981544495,7697.030110594284,,
mid_size,100,28,14,3,10000000000000000000000000000,189.0174298286438,7574.338247270425,,
mid_size,100,28,14,4,10000000000000000000000000000,190.66789293289185,7646.001266704174,,
mid_size,100,56,7,0,100000000000000,161.02234506607056,7820.538203534466,,
mid_size,100,56,7,1,100000000000000,159.69540286064148,7454.452557498949,,
mid_size,100,56,7,2,100000000000000,162.54895091056824,7584.380343677624,,
mid_size,100,56,7,3,100000000000000,157.59460306167603,7673.401453733198,,
mid_size,100,56,7,4,100000000000000,160.02664613723755,7614.1560060161355,,
mid_size,100,56,14,0,10000000000000000000000000000,256.05630588531494,10637.791816496097,,
mid_size,100,56,14,1,10000000000000000000000000000,256.0625150203705,10621.66621757208,,
mid_size,100,56,14,2,10000000000000000000000000000,253.93458032608032,10387.522124844494,,
mid_size,100,56,14,3,10000000000000000000000000000,256.3466980457306,10592.004590363424,,
mid_size,100,56,14,4,10000000000000000000000000000,256.32592010498047,10741.713793439434,,
