property_type,capacity,T,N,replication,state_space_size,saa_time,saa_revenue,dp_time,dp_revenue
boutique,50,28,7,0,781250000000,130.28170490264893,6270.767374522337,,
boutique,50,28,7,1,781250000000,126.16833591461182,6356.704662710471,,
boutique,50,28,7,2,781250000000,127.1361141204834,6469.357291388026,,
boutique,50,28,7,3,781250000000,125.13472199440002,6477.148764607746,,
boutique,50,28,7,4,781250000000,125.20499587059021,6268.139026433563,,
boutique,50,28,14,0,610351562500000000000000,184.07992911338806,7674.639996244262,,
boutique,50,28,14,1,610351562500000000000000,184.94280767440796,7678.084188840174,,
boutique,50,28,14,2,610351562500000000000000,184.34594202041626,7652.696639584282,,
boutique,50,28,14,3,610351562500000000000000,192.12953805923462,7516.528897227289,,
boutique,50,28,14,4,610351562500000000000000,193.44410490989685,7557.9031215731475,,
boutique,50,28,28,0,372529029846191406250000000000000000000000000000,249.96268606185913,7915.589987402226,,
boutique,50,28,28,1,372529029846191406250000000000000000000000000000,251.3694131374359,7889.47353235332,,
boutique,50,28,28,2,372529029846191406250000000000000000000000000000,255.88891100883484,7762.6046127141235,,
boutique,50,28,28,3,372529029846191406250000000000000000000000000000,246.34553289413452,7846.785288160475,,
boutique,50,28,28,4,372529029846191406250000000000000000000000000000,247.61800289154053,8070.071624213065,,
boutique,50,56,7,0,781250000000,164.36815786361694,7734.6597632189805,,
boutique,50,56,7,1,781250000000,156.1177818775177,7661.816768978181,,
boutique,50,56,7,2,781250000000,156.724760055542,7754.4645686153735,,
boutique,50,56,7,3,781250000000,157.71519303321838,7717.849167152657,,
boutique,50,56,7,4,781250000000,157.42878222465515,7685.181952125137,,
boutique,50,56,14,0,610351562500000000000000,258.1322031021118,10654.697698826843,,
boutique,50,56,14,1,610351562500000000000000,262.8276228904724,10581.13976206607,,
boutique,50,56,14,2,610351562500000000000000,253.351233959198,10573.936715860174,,
boutique,50,56,14,3,610351562500000000000000,253.57383012771606,10682.122181563178,,
boutique,50,56,14,4,610351562500000000000000,252.06918573379517,10817.912636374334,,
boutique,50,56,28,0,372529029846191406250000000000000000000000000000,352.02680802345276,11805.338945895393,,
boutique,50,56,28,1,372529029846191406250000000000000000000000000000,355.1198818683624,11681.56885174639,,
boutique,50,56,28,2,372529029846191406250000000000000000000000000000,356.98784589767456,11791.679673137984,,
boutique,50,56,28,3,372529029846191406250000000000000000000000000000,361.33218717575073,11860.696470291712,,
boutique,50,56,28,4,372529029846191406250000000000000000000000000000,366.25168776512146,11746.444428270725,,
boutique,50,84,7,0,781250000000,158.04947090148926,7927.809967381947,,
boutique,50,84,7,1,781250000000,158.28177213668823,7748.7832116766895,,
boutique,50,84,7,2,781250000000,159.9470820426941,7863.02055243834,,
boutique,50,84,7,3,781250000000,162.54209089279175,7862.8862699596975,,
boutique,50,84,7,4,781250000000,162.11153411865234,7707.868400701029,,
boutique,50,84,14,0,610351562500000000000000,266.1764931678772,10607.558660218223,,
boutique,50,84,14,1,610351562500000000000000,267.5643391609192,10790.936249115606,,
boutique,50,84,14,2,610351562500000000000000,264.88294196128845,10596.003437185394,,
boutique,50,84,14,3,610351562500000000000000,268.4322597980499,10660.019796184713,,
boutique,50,84,14,4,610351562500000000000000,262.32233810424805,10803.216602547953,,
boutique,50,84,28,0,372529029846191406250000000000000000000000000000,373.96975779533386,12125.359746481616,,
boutique,50,84,28,1,372529029846191406250000000000000000000000000000,370.649799823761,12098.166318117956,,
boutique,50,84,28,2,372529029846191406250000000000000000000000000000,380.4134771823883,11985.416510152965,,
boutique,50,84,28,3,372529029846191406250000000000000000000000000000,377.0936689376831,11900.692796446338,,
boutique,50,84,28,4,372529029846191406250000000000000000000000000000,381.2309937477112,12001.881247190358,,
mid_size,150,56,14,0,2919292602539062500000000000000,250.11548900604248,10599.911077987954,,
mid_size,150,56,14,1,2919292602539062500000000000000,252.81650686264038,10601.441457213516,,
mid_size,150,56,14,2,2919292602539062500000000000000,261.80134296417236,10299.982389900993,,
mid_size,150,56,14,3,2919292602539062500000000000000,268.01955795288086,10734.43784193751,,
mid_size,150,56,14,4,2919292602539062500000000000000,265.67680406570435,10732.515243120475,,
mid_size,150,56,28,0,8522269299239292740821838378906250000000000000000000000000000,417.6120460033417,11607.365757720636,,
mid_size,150,56,28,1,8522269299239292740821838378906250000000000000000000000000000,406.01077604293823,11745.970184207965,,
